
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:19:11 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
10-SEP-14	1012	     18
11-SEP-14	1012	     29
02-SEP-14      30232	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
27-SEP-14	1012	     22
30-SEP-14	1012	     15
01-OCT-14	1012	     18
09-OCT-14	1000	      1
17-AUG-14      10036	 204652
18-AUG-14      10036	 228598
19-AUG-14      10036	 230334
31-AUG-14      10036	  81658
02-SEP-14      10036	  81516
13-SEP-14      10036	 114268
16-SEP-14      10036	 119022

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
17-SEP-14      10036	 123941
25-SEP-14      10036	 121200
28-SEP-14      10036	 115723
01-OCT-14      10036	 105321
02-OCT-14      10036	 110401
06-OCT-14      10036	  98543
12-AUG-14      30203	      4
13-AUG-14      30218	   1343
24-AUG-14	1031	     81
30-AUG-14      30218	  15925
28-AUG-14      30218	   3275

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
29-AUG-14      30218	   6862
31-AUG-14      30218	   2206
02-SEP-14      30218	   2183
06-SEP-14      30218	  14392
21-AUG-14	1003	     11
28-AUG-14	1031	     72
29-AUG-14	1031	     58
31-AUG-14	1031	     54
10-SEP-14	1031	     80
17-AUG-14	1003	      9
08-SEP-14	3000	    152

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-AUG-14      30219	    108
17-AUG-14      30219	    198
03-SEP-14      30203	      1
11-AUG-14      10815	    876
05-SEP-14      10815	   1409
13-AUG-14	3000	    154
11-AUG-14	3000	    175
03-SEP-14      30728	    359
14-SEP-14	1031	    193
17-SEP-14	1031	     81
18-SEP-14      10815	   1274

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-SEP-14      30218	   1257
21-SEP-14	1031	     83
25-SEP-14      10815	   1484
28-SEP-14      10815	   1136
05-OCT-14      30203	    487
04-OCT-14      30219	    191
08-OCT-14      30219	    512
22-SEP-14      30219	    269
12-SEP-14      30219	    563
13-SEP-14      30219	    218
23-SEP-14	1031	    107

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
28-SEP-14	1031	     10
01-OCT-14	3000	    134
30-SEP-14      30219	    360
17-SEP-14	1003	      7
02-OCT-14	3000	    138
26-SEP-14	3000	     98
20-SEP-14      30728	    630
17-SEP-14      10815	   1374
18-SEP-14	1003	      3
23-SEP-14	1003	      6
12-SEP-14	1003	      3

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14	1031	      7
11-SEP-14	3000	     92
09-OCT-14	1030	      1
17-AUG-14      30728	    340
30-AUG-14      30728	    559
07-SEP-14      30728	    493
11-SEP-14      30232	      4
15-SEP-14	1003	      1
18-SEP-14      30232	      1
02-OCT-14	1031	      6
12-AUG-14	1012	     55

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
17-AUG-14	1012	     18
21-AUG-14      30203	      1
24-AUG-14	1012	     31
22-AUG-14      30232	      1
26-AUG-14	1012	     21
31-AUG-14	1012	      7
05-SEP-14	1003	      4
07-SEP-14	1012	      6
22-SEP-14      30203	      1
06-OCT-14	1003	      6
27-SEP-14      30232	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
29-AUG-14      30203	      1
16-AUG-14      10036	 230287
01-SEP-14      10036	 142572
06-SEP-14      10036	 175914
21-SEP-14      10036	 106721
24-SEP-14      10036	 115024
26-SEP-14      10036	  84133
30-SEP-14      10036	  72166
13-AUG-14      30219	    629
20-AUG-14	1031	     48
18-AUG-14      30218	   1951

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
01-SEP-14	1031	     46
30-AUG-14	1031	     61
10-SEP-14      30218	   2400
23-AUG-14	1031	     64
11-AUG-14      30218	   1644
28-AUG-14      30219	    488
06-SEP-14      30219	    483
08-SEP-14      30219	    601
12-AUG-14	3000	    130
01-SEP-14	1003	      8
09-SEP-14	3000	     99

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
10-SEP-14      30219	    640
12-AUG-14      30219	    421
20-AUG-14      30219	    561
05-SEP-14	3000	    120
15-AUG-14      10815	    846
11-AUG-14	1003	      4
16-AUG-14      10815	    677
02-SEP-14      10815	   1038
24-AUG-14      30232	      1
07-SEP-14	1003	      5
13-SEP-14      30218	   2546

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-SEP-14      30203	      1
15-SEP-14	1031	    120
16-SEP-14      30219	    413
19-SEP-14      10815	   1235
20-SEP-14      30218	   1666
22-SEP-14      10815	   1463
24-SEP-14      30218	   2210
25-SEP-14      30218	   1323
24-SEP-14      10815	   1348
26-SEP-14      30203	    597
04-OCT-14      10815	   1299

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-OCT-14      30203	    456
05-OCT-14      30728	   1519
02-OCT-14      30218	    980
06-OCT-14      30218	   1584
07-OCT-14      30728	   2627
09-OCT-14      30218	   1235
25-SEP-14      30219	    309
21-SEP-14	1003	      8
21-SEP-14      30219	    109
16-SEP-14	1003	      9
14-SEP-14      30219	    157

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-SEP-14	3000	    101
20-SEP-14	3000	    133
16-SEP-14	3000	    445
27-SEP-14	3000	     79
17-SEP-14      30728	    613
30-SEP-14      30728	    433
04-OCT-14      10040	    273
03-OCT-14      10040	     78
09-OCT-14	1031	      9
29-SEP-14	1003	      9
16-AUG-14      30728	    481

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-AUG-14      30728	    375
23-AUG-14      30728	    428
27-AUG-14	1003	      8
02-SEP-14      30728	    422
06-SEP-14      30728	    805
07-OCT-14	1031	      6
05-OCT-14	1003	      4
20-AUG-14	1012	     35
01-SEP-14	1012	     21
03-OCT-14	1012	     19
04-OCT-14	1012	     10

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
06-OCT-14	1012	     12
26-AUG-14      30203	    295
13-AUG-14      30232	      2
23-AUG-14      10036	 313179
25-AUG-14      10036	 232688
05-SEP-14      10036	 133199
11-SEP-14      10036	 130146
12-SEP-14      10036	 127904
27-SEP-14      10036	 142549
25-AUG-14      30218	   2890
27-AUG-14	1031	     60

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
30-AUG-14      30219	    403
07-SEP-14	1031	     67
11-AUG-14	1031	     52
12-AUG-14      30218	   2137
02-SEP-14	1031	     28
08-SEP-14      30203	      1
10-AUG-14      30218	    836
15-AUG-14	3000	    144
22-AUG-14      30219	    631
31-AUG-14	3000	    199
01-SEP-14	3000	    146

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
07-SEP-14	3000	     44
24-AUG-14      30219	    253
13-AUG-14      30203	      1
22-AUG-14	3000	     87
18-AUG-14      10815	    935
22-AUG-14      10815	   1223
30-AUG-14      10815	   1466
18-AUG-14	3000	    129
11-SEP-14      30218	   1733
18-SEP-14      30218	   1539
23-SEP-14      10815	   1394

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
24-SEP-14      30203	   5230
24-SEP-14      30219	    367
02-OCT-14      10815	   1539
03-OCT-14      30728	   1435
05-OCT-14      10815	    903
07-OCT-14      30203	    643
07-OCT-14      10815	   1481
09-OCT-14      30203	    294
27-SEP-14      30219	    239
07-OCT-14      10040	    352
28-SEP-14      30219	    164

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-SEP-14      30728	    586
06-OCT-14	3000	    144
28-SEP-14	1003	      4
07-OCT-14	1003	     11
11-AUG-14      30728	    495
20-AUG-14      30728	    445
25-AUG-14      30203	      4
29-AUG-14      30728	    536
01-SEP-14      30728	    359
15-SEP-14      30728	    619
16-SEP-14      30728	    726

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
11-SEP-14      30203	      4
15-SEP-14      30203	      1
30-SEP-14	1031	      5
25-SEP-14	3000	     87
14-AUG-14	1012	     21
19-AUG-14	1012	     10
15-AUG-14      30203	      2
25-AUG-14	1012	     13
27-AUG-14	1012	     14
02-SEP-14	1012	     10
08-OCT-14	1012	     85

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
20-SEP-14      30203	      1
14-AUG-14      10036	 238165
15-AUG-14      10036	 253963
29-AUG-14      10036	 127518
03-SEP-14      10036	 113759
08-SEP-14      10036	 118650
19-SEP-14      10036	  92138
22-SEP-14      10036	 117122
08-OCT-14      10036	 144012
14-AUG-14	1031	     50
20-AUG-14      30218	   2341

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
17-AUG-14	1031	     64
19-AUG-14      30218	   2147
04-SEP-14      30218	   4729
06-SEP-14	1031	     49
09-SEP-14      30203	    743
16-AUG-14	1031	     48
14-AUG-14      30219	    621
31-AUG-14      30203	     10
11-AUG-14      30219	    453
18-AUG-14	1031	     58
01-SEP-14      30203	     17

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
13-AUG-14      10815	   1009
10-AUG-14      10815	    512
18-AUG-14	1003	      5
28-AUG-14      10815	   1232
31-AUG-14      10815	    750
03-SEP-14      10815	   1193
07-SEP-14      10815	    883
09-SEP-14      10815	   1261
09-SEP-14	1003	      5
22-AUG-14	1003	      6
27-AUG-14	3000	    142

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-SEP-14      30218	   1221
20-SEP-14      10815	   1255
20-SEP-14	1031	     76
18-SEP-14	1031	     77
28-SEP-14      30203	    249
27-SEP-14      30203	    382
28-SEP-14	3000	    193
30-SEP-14      10815	   1151
06-OCT-14      10815	   1248
06-OCT-14      30203	    432
29-SEP-14      30219	    524

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
11-SEP-14	1031	     69
05-OCT-14      30219	    163
02-OCT-14	1003	      6
08-OCT-14	1003	     10
17-SEP-14	3000	    126
05-OCT-14      10040	     74
10-SEP-14      10815	   1283
14-SEP-14      10815	    925
24-SEP-14	1003	      8
10-AUG-14      30728	    605
15-AUG-14      30728	    475

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
19-AUG-14      30728	    349
31-AUG-14      30728	    232
05-SEP-14      30728	    559
08-SEP-14      30728	    447
10-AUG-14	1012	     16
23-AUG-14	1012	     78
10-SEP-14      30232	      1
16-SEP-14	1012	     34
21-SEP-14	1012	      6
20-SEP-14	1012	     14
10-AUG-14      10036	 145155

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
13-AUG-14      10036	 241952
22-AUG-14      10036	 194133
24-AUG-14      10036	 221270
26-AUG-14      10036	 234840
30-AUG-14      10036	 174757
07-SEP-14      10036	 106064
10-SEP-14      10036	 127023
15-SEP-14      10036	 115141
20-SEP-14      10036	 147826
23-SEP-14      10036	 116148
29-SEP-14      10036	  98112

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
03-OCT-14      10036	 187967
07-OCT-14      10036	 127378
15-AUG-14      30218	   1961
12-AUG-14	1031	     43
10-AUG-14	3000	     40
22-AUG-14      30218	   2398
