
SQL*Plus: Release 11.2.0.2.0 Production on Thu Oct 9 12:19:29 2014

Copyright (c) 1982, 2010, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options


TRUNC(SYS   ERROR_ID   COUNT(*)
TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
26-SEP-14      30203	    715
02-OCT-14      30218	    750
03-OCT-14      30203	   2379
05-SEP-14	3000	    218
12-SEP-14	3000	    502
20-SEP-14	3000	    165
25-SEP-14      30219	     81
29-SEP-14	1003	     16
17-SEP-14      30728	    192
07-SEP-14	1003	     11
21-SEP-14	1003	     17

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
27-SEP-14	3000	    224
06-SEP-14      30728	    472
30-SEP-14      30728	    130
03-OCT-14      10040	    723
04-OCT-14      10040	   2612
16-SEP-14	3000	    184
04-OCT-14      10815	   1238
06-OCT-14      30218	   2896
07-OCT-14      30728	   3572
09-OCT-14      30218	   1351
05-OCT-14      30728	   3205

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
05-OCT-14	1003	     15
07-OCT-14	1031	      4
11-AUG-14	1003	     15
21-AUG-14      30728	     26
02-SEP-14      30728	     66
07-SEP-14      30203	   1179
09-OCT-14	1031	      4
12-SEP-14      30203	      2
16-AUG-14      30728	     36
23-AUG-14      30728	     37
26-SEP-14      30232	      1

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-AUG-14      30218	   1839
10-AUG-14      30218	    984
25-AUG-14      30218	   2538
22-AUG-14      30219	     87
30-AUG-14      30219	    140
11-AUG-14	1031	     62
24-AUG-14      30219	     77
27-AUG-14	1031	     59
02-SEP-14	1031	     32
15-AUG-14	3000	    235
18-AUG-14	3000	    144

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-AUG-14      30232	      3
01-SEP-14	3000	    101
31-AUG-14	3000	     85
18-AUG-14      10815	    796
22-AUG-14      10815	    646
30-AUG-14      10815	    764
22-AUG-14	3000	    151
25-AUG-14      30203	      1
07-SEP-14	1031	     76
11-SEP-14      30218	   2214
18-SEP-14      30218	   2760

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-SEP-14      10815	   1216
24-SEP-14      30203	    144
02-OCT-14      10815	   1126
03-OCT-14      30728	    807
07-SEP-14	3000	    102
24-SEP-14      30219	     76
27-SEP-14      30219	     92
28-SEP-14      30219	     54
19-SEP-14      30203	      1
08-SEP-14      30203	      2
15-SEP-14      30728	    137

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
16-SEP-14      30728	    201
23-SEP-14      30728	    148
25-SEP-14	3000	    192
30-SEP-14	1031	      3
05-OCT-14      10815	    897
06-OCT-14	3000	    591
07-OCT-14      10815	   1228
07-OCT-14      30203	    494
07-OCT-14      10040	   4024
09-OCT-14      30203	    251
07-OCT-14	1003	      9

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
11-AUG-14      30728	     35
15-AUG-14      30203	      8
29-AUG-14      30728	     75
01-SEP-14      30728	    125
16-SEP-14      30203	      3
20-AUG-14      30728	     14
04-SEP-14      30203	      1
11-SEP-14      30203	      2
20-SEP-14      30203	      1
28-SEP-14	1003	      5
13-AUG-14      30203	      2

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
23-AUG-14      30203	      1
16-AUG-14	1031	     62
14-AUG-14      30219	    133
17-AUG-14	1031	     73
20-AUG-14      30218	   2765
19-AUG-14      30218	   2492
28-AUG-14      10815	    697
04-SEP-14      30218	   4868
11-AUG-14      30219	    125
18-AUG-14	1031	     66
27-AUG-14	3000	    250

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
01-SEP-14      30203	     28
14-AUG-14	1031	     48
22-AUG-14	1003	      8
03-SEP-14      10815	    678
13-AUG-14      10815	    680
10-AUG-14      10815	    319
19-AUG-14      30728	     39
31-AUG-14      10815	    430
19-AUG-14      30203	      2
18-AUG-14	1003	      4
06-SEP-14	1031	     57

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
09-SEP-14      30203	   1622
19-SEP-14      30218	   2036
20-SEP-14      10815	   1076
30-SEP-14      10815	    804
27-SEP-14      30203	    470
28-SEP-14      30203	    316
11-SEP-14	1031	     75
20-SEP-14	1031	     88
18-SEP-14	1031	     89
29-SEP-14      30219	     67
28-SEP-14	3000	     66

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
07-SEP-14      10815	    549
09-SEP-14      10815	    777
14-SEP-14      10815	    682
17-SEP-14	3000	    146
10-SEP-14      10815	    656
05-SEP-14      30728	    437
08-SEP-14      30728	    288
09-SEP-14	1003	     15
24-SEP-14	1003	      8
02-OCT-14	1003	     10
06-OCT-14      10815	    954

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
06-OCT-14      30203	   1817
05-OCT-14      30219	     92
08-OCT-14	1003	     21
05-OCT-14      10040	   1166
31-AUG-14      30203	      3
31-AUG-14      30728	     44
17-AUG-14      30203	      1
08-SEP-14	1083	      1
10-AUG-14      30728	     22
15-AUG-14      30728	     40
27-AUG-14      30232	      7

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
15-AUG-14      30218	   1926
21-AUG-14      30218	   2533
27-AUG-14      30218	   2093
22-AUG-14      30218	   1473
23-AUG-14      30218	   3041
25-AUG-14	1031	     51
24-AUG-14	3000	    191
31-AUG-14      30219	     98
02-SEP-14	3000	    129
03-SEP-14      30219	    117
25-AUG-14	1003	      5

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-AUG-14	1031	     32
21-AUG-14	3000	    259
26-AUG-14	1031	     50
04-SEP-14      30219	    112
17-AUG-14      10815	    562
26-AUG-14      10815	    640
21-AUG-14      10815	    660
20-AUG-14	3000	    205
10-AUG-14	3000	     64
05-SEP-14      30219	    138
05-SEP-14	1031	     54

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
06-SEP-14	3000	    263
06-SEP-14      30203	      2
08-SEP-14      30218	  16715
09-SEP-14      30218	  11480
09-SEP-14      30219	    104
11-SEP-14      30219	    104
12-SEP-14      30218	   1738
26-SEP-14      10815	   1018
29-SEP-14      10815	    976
26-SEP-14      30218	   1148
29-SEP-14      30203	    557

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
30-SEP-14      30203	   1947
03-OCT-14      10815	   1958
01-OCT-14      30219	    109
04-OCT-14      30728	   2890
01-OCT-14	1003	     27
04-OCT-14      30218	   1927
13-SEP-14      10815	    956
12-SEP-14      10815	    951
10-SEP-14	3000	    264
14-SEP-14	1003	     17
22-SEP-14      30728	    168

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
21-SEP-14	3000	    138
25-SEP-14	1031	      3
30-SEP-14	1003	     11
05-OCT-14      30218	   3273
07-OCT-14      30219	     83
08-OCT-14      30203	    380
09-OCT-14      30219	     84
09-OCT-14	1003	     65
06-OCT-14      10040	   1442
08-OCT-14	1031	      4
26-AUG-14      30728	     96

TRUNC(SYS   ERROR_ID   COUNT(*)
--------- ---------- ----------
12-AUG-14	1003	      2
06-SEP-14	1003	     12
14-AUG-14      30728	     52
17-SEP-14      30203	      1

488 rows selected.

Disconnected from Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production
With the Partitioning, Real Application Clusters, Automatic Storage Management, OLAP,
Data Mining and Real Application Testing options
