20190115	10.112.61.238	N	126707	3227544158475
20190116	10.112.61.238	N	132368	4048694037896
20190117	10.112.61.238	N	132502	4003332277354
20190118	10.112.61.238	N	125135	4328225284121
20190119	10.112.61.238	N	94064	4405900572890
20190120	10.112.61.238	N	87094	3748121939642
20181221	10.113.61.238	N	124170	609897508658
20181222	10.113.61.238	N	306400	1844959164437
20181223	10.113.61.238	N	306643	1840042786807
20181224	10.113.61.238	N	306027	1767728278263
20181225	10.113.61.238	N	305510	1822134594802
20181226	10.113.61.238	N	307725	1715644033811
20181227	10.113.61.238	N	258456	1411538594489
20181228	10.113.61.238	N	308356	1761933261513
20181229	10.113.61.238	N	308008	1865347816936
20181230	10.113.61.238	N	302595	1934990070322
20181231	10.113.61.238	N	302594	1785974482657
20190101	10.113.61.238	N	301947	1833254261012
20190102	10.113.61.238	N	285410	1583206568158
20190103	10.113.61.238	N	257014	1368594843158
20190104	10.113.61.238	N	309013	1610402109125
20190105	10.113.61.238	N	313819	1799572534847
20190106	10.113.61.238	N	303598	1858253325894
20190107	10.113.61.238	N	312201	1770139496189
20190108	10.113.61.238	N	234301	1327616043539
20190109	10.113.61.238	N	238895	1368573696659
20190110	10.113.61.238	N	315339	1868393434552
20190111	10.113.61.238	N	318546	1870242242537
20190112	10.113.61.238	N	308743	1883834450346
20190113	10.113.61.238	N	303034	1983570252944
20190114	10.113.61.238	N	313982	1765152099315
20190115	10.113.61.238	N	316860	1820092714430
20190116	10.113.61.238	N	289636	1607725822625
20190117	10.113.61.238	N	317688	1753568756533
20190118	10.113.61.238	N	321479	1809356065078
20190119	10.113.61.238	N	309055	1963231194771
20190120	10.113.61.238	N	296685	1911060630230
20181221	10.120.59.2	N	31052	864165322680
20181222	10.120.59.2	N	45816	1494356812191
20181223	10.120.59.2	N	41112	1450382130872
20181224	10.120.59.2	N	40312	1417627611116
20181225	10.120.59.2	N	38565	1357562975445
20181226	10.120.59.2	N	44388	1306298724786
20181227	10.120.59.2	N	43128	1414614713548
20181228	10.120.59.2	N	39884	1304418318180
20181229	10.120.59.2	N	37803	1318682258031
20181230	10.120.59.2	N	37063	1297962502137
20181231	10.120.59.2	N	39809	1345347538039
20190101	10.120.59.2	N	31670	1080309332368
20190102	10.120.59.2	N	40936	1198014261880
20190103	10.120.59.2	N	44701	1246209394177
20190104	10.120.59.2	N	47283	1255751980094
20190105	10.120.59.2	N	43998	1337467603619
20190106	10.120.59.2	N	39495	1305657746751
20190107	10.120.59.2	N	46066	1078107007959
20190108	10.120.59.2	N	51342	1172252677481
20190109	10.120.59.2	N	47199	1350633913655
20190110	10.120.59.2	N	45841	1321599230802
20190111	10.120.59.2	N	47261	1428422349693
20190112	10.120.59.2	N	40494	1425282412158
20190113	10.120.59.2	N	36483	1396800425294
20190114	10.120.59.2	N	45619	1295286893376
20190115	10.120.59.2	N	45423	1086720621166
20190116	10.120.59.2	N	47211	1325816655544
20190117	10.120.59.2	N	47308	1336959194966
20190118	10.120.59.2	N	45121	1514906683815
20190119	10.120.59.2	N	35594	1491364898020
20190120	10.120.59.2	N	32755	1323471170853
20181221	10.121.59.2	N	18024	382335010735
20181222	10.121.59.2	N	28747	698229682619
20181223	10.121.59.2	N	27265	676312896845
20181224	10.121.59.2	N	27291	658226437951
20181225	10.121.59.2	N	27550	654955386787
20181226	10.121.59.2	N	27043	585711566014
20181227	10.121.59.2	N	27733	587769405849
20181228	10.121.59.2	N	28878	617253029974
20181229	10.121.59.2	N	25527	647939134938
20181230	10.121.59.2	N	25480	688762835271
20181231	10.121.59.2	N	26575	664808085452
20190101	10.121.59.2	N	23545	633139074191
20190102	10.121.59.2	N	25334	645820673913
20190103	10.121.59.2	N	26982	635825244075
20190104	10.121.59.2	N	29747	645160581621
20190105	10.121.59.2	N	28668	752320344492
20190106	10.121.59.2	N	25539	657774460114
20190107	10.121.59.2	N	29931	599820658091
20190108	10.121.59.2	N	31821	653229802598
20190109	10.121.59.2	N	27002	684440500442
20190110	10.121.59.2	N	27617	693390721078
20190111	10.121.59.2	N	27908	705501083422
20190112	10.121.59.2	N	25720	708996425382
20190113	10.121.59.2	N	23358	677091927627
20190114	10.121.59.2	N	27816	645749129098
20190115	10.121.59.2	N	26794	536470064088
20190116	10.121.59.2	N	29509	649702666603
20190117	10.121.59.2	N	28846	662120711782
20190118	10.121.59.2	N	28930	714141725363
20190119	10.121.59.2	N	21795	651856954540
20190120	10.121.59.2	N	20703	565052990714
20181221	10.122.61.238	N	78887	2029336744311
20181222	10.122.61.238	N	116312	3798933020717
20181223	10.122.61.238	N	110888	3817356979814
20181224	10.122.61.238	N	108229	3577268736114
20181225	10.122.61.238	N	106563	3575364877081
20181226	10.122.61.238	N	115741	3438183609245
20181227	10.122.61.238	N	123519	3447684113878
20181228	10.122.61.238	N	121411	3693808560181
20181229	10.122.61.238	N	102791	3707478652644
20181230	10.122.61.238	N	101101	3638283964461
20181231	10.122.61.238	N	110970	3598557215220
20190101	10.122.61.238	N	97652	3263657090535
20190102	10.122.61.238	N	110608	3449625093416
20190103	10.122.61.238	N	121451	3341632257667
20190104	10.122.61.238	N	128891	3550817631148
20190105	10.122.61.238	N	118467	3759906608493
20190106	10.122.61.238	N	106848	3567226846806
20190107	10.122.61.238	N	131601	3438044868063
20190108	10.122.61.238	N	138293	3413370139604
20190109	10.122.61.238	N	121386	3719021658582
